,date,lat_and_long,GTOA_Protocol,Boat_Type,Boat_Length,Towing_Inflatable,Trailing_Fishing_Lure,Physical_Contact_With_Boat,Number_of_Adult_Orcas,Number_of_Juvenile_Orcas,Number_of_Uncertain_Age_Orcas,Rudder,Motoring_or_Sailing,Speed_Knots,Sea_State,Wind_Speed_Beaufort,Daylight_or_Darkness,Cloud_Cover,Distance_Off_Land_NM,Depth_Meters,Depth_Gauge,Autopilot,Hull_Topsides_Color,Antifoul_Color,Boat_Damaged,Tow_Required,Crew_Response,Orcas_Behaviour
0,2023-11-01 22:15:00,"32 47.4980 N, 9 54.3980 W","No, did not follow protocol, interaction lasted less than 10 minutes",Sail,10 - 12.5m,Not towing,No,No,1,0,0,Spade,Sailing,5 - 7,Moderate,5 - 6 (17 - 27 knots),Night,0 - 25%,Over 10,200m+,On,On,White/light,Blue,No,No,"Orca interaction at 10:15pm on 01/11, 40 miles off the coast of Safi, on passage from Tangier to the Canary Islands. We were relaxing in the cockpit with a podcast playing quite loudly on a portable speaker. It was pitch black as the moon had not yet risen. A lone adult orca (to our knowledge) approached our yacht (Beneteau Oceanis 411) and surfaced about half a metre from our stern. We were only alerted to it's presence when it's blowhole spouted, roughly 0.5 metres off the left side of our stern, right next to our navigation light. It was so close to us that the water from its blowhole hit our chart plotter. We stood up to inspect and saw 1 very large (adult) Orca. We scrambled to grab our foghorn, and 2 x firecrackers that had been passed on to us by fellow sailors. We put on our lifejackets and deployed 1 firecracker into the water, around 1-2 minutes later. We then quickly turned our engine on and motor sailed ahead at full speed, bracing for impact. Luckily, the boat was not hit at all. We motored for around 1 hour before deciding that the coast was clear. There may have been more orcas, but we could not see because it was too dark.","I would describe the behaviour of the Orca during this interaction as placid and curious. I think that it was possibly drawn to us because of our stern light, and perhaps the sound of the autopilot and the loud voices from the podcast being broadcast through our speaker. It did not display any aggressive behaviour, and the fact that it surfaced so close to our stern light indicates to me that it was just curiously checking us out. Given that we were taken completely by surprise, it took us a good few minutes to deploy our deterrent tactics. It would have been only a few metres away from our rudder, and could have easily attacked us if it wanted to."
1,2023-10-31 07:50:00,"39 26.0000 N, 9 23.0000 W","Yes, followed protocol, interaction lasted less than 10 minutes",Sail,12.5 - 15m,Not towing,No,Yes,2,5,0,Twin rudder,Motoring,5 - 7,Rough,3 - 4 (7 - 16 knots),Day,50 - 75%,2 - 5,40 - 200m,On,On,White/light,Black,"Yes, moderate - immediate repairs required",No,"We had sandbags on our sugar scoops and metal poles to bang together. First thing we felt two bangs, auto pilot off engines in neutral. Saw the orca then started dropping cups of sand into the water off the stern. Adults seemed to be close by but all interactions to the boat were juveniles.",Juveniles hitting the rudders adults close by
2,2023-09-19 11:00:00,"37 40.0000 N, 8 54.0000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Sail,12.5 - 15m,Not towing,No,Yes,1,0,0,Spade,Motoring,5 - 7,Calm,3 - 4 (7 - 16 knots),Day,0 - 25%,2 - 5,40 - 200m,On,On,White/light,Other,"Yes, moderate - immediate repairs required",No,"We saw the orca approach from 10 o’clock position. Disengaged autopilot and put boat into neutral. Orca disappeared from sight, then reappeared and attacked from rear of the boat. Struck the boat 3 times. We then saw part of the rudder floating behind the boat. Fortunately, we retained steerage and motored to shallower waters, and continued our journey.","There was an initial approach 45 minutes earlier, which did not result in any contact. The orca returned, then the damage occurred. The orca left as soon as the rudder damage appeared in the water."
3,2023-09-01 13:15:00,"45 36.0000 N, 3 45.0000 W","Yes, followed protocol, interaction lasted 10 to 30 minutes",Sail,Over 15m,Not towing,Yes,Yes,1,2,0,Spade,Sailing,3 - 4,Calm,3 - 4 (7 - 16 knots),Day,25 - 50%,Over 10,200m+,Off,Off,White/light,Black,"Yes, moderate - immediate repairs required",No,"Les trois orques passent constamment de bâbord à tribord sous le bateau. Par la suite, la plus grande reste a matière, en partie sous le bateau au niveau des safrans. Nous avons immediatement suivi le protocole et contacté le cross etel. Comme l'interaction continuait, nous avons déversé un peu de gasoil sur l'arrière. Peu de reaction la premiere fois, mais suite à la deuxième fois, les rques se sont éloignés. Interaction totale 15min. /// The three orcas constantly move from port to starboard under the boat. Later, the largest of them remained, partly under the boat at the level of the rudders. We immediately followed the protocol and contacted Cross Eel. As the interaction continued, we poured a little diesel over the stern. There was little reaction the first time, but after the second time, the problems went away. Total interaction 15min.",Pas de comportement visblement agressif./// No visibly aggressive behaviour
4,2023-09-02 03:45:00,"42 45.0000 N, 9 14.0000 W","Yes, followed protocol, interaction lasted less than 10 minutes",Sail,12.5 - 15m,Not towing,No,Yes,1,2,0,Spade,Motorsailing,5 - 7,Calm,0 - 2 (0 - 6 knots),Night,0 - 25%,5 - 10,40 - 200m,On,On,White/light,Black,"Yes, moderate - immediate repairs required",Yes,"Arrêt du pilote automatique a la 2 eme interaction et mise au neutre du moteur après 1 min (4 interactions). Les interactions ont continué le temps que j'aille prendre un pied de table en métal et que je tape dessus avec un marteau dans l'eau. Cela faisait bien 5 min et la frequence des interactions ont diminué avant que je ne tape sur le pied de métal. Ils ont tourné autours du bateau puis se sont éloignés mais sont restés pas très loin, je pouvais les entendre respirer 1h durant. Je ne pense pas que taper sur la barre en métal n'ait fait quoique ce soit. Je pense qu'ils sont partis une fois le safran cassé complètement./// Autopilot stopped on the 2nd interaction and engine neutralized after 1 min (4 interactions). Interactions continued until I picked up a metal table leg and tapped it with a hammer in the water. It had been 5 min and the frequency of interactions decreased before I tapped on the metal leg. They circled around the boat and then moved away, but didn't stay very far. I could hear them breathing for 1 hour. I don't think tapping on the metal bar did anything. I think they left once the rudder was completely broken.","Approche furtive à la première interaction directement sur le safran puis les 2 petits ont joué avec le safran pendant que le gros tournait autours et jouait avec la coque. Les petits passaient vraiment sous la coque. Stealthy approach to the first interaction directly on the rudder, then the 2 little ones played with the rudder while the big one turned around and played with the hull. The little ones really got under the hull."
5,2023-08-22 11:50:00,"42 53.7600 N, 9 21.3900 W","No, did not follow protocol, interaction lasted less than 10 minutes",Sail,Over 15m,Not towing,Yes,Yes,5,0,0,Spade,Sailing,5 - 7,Calm,3 - 4 (7 - 16 knots),Day,0 - 25%,2 - 5,40 - 200m,On,On,White/light,Black,No,No,"We stayed calm, made no unnecessary noise and watched the animals. We also stayed on course and did not deactivate the autopilot. however, we quietly and calmly made preparations to stop the boat in case of emergency. We did not inform our children to spread unnecessary panic. Our dog was the only crew member who became a little restless. at no time did we feel that the animals were hostile to us. however, it was exciting.","The animals seemed to be curious and interested. Why they have bumped our rudder 3 times we do not understand of course. But we had the feeling that we have not awakened their interest, because we remained quite calm. After about 3-4 minutes they have then moved away again!"
6,2023-08-17 13:30:00,"35 52.7000 N, 5 38.6000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Sail,Over 15m,Not towing,Yes,Yes,6,0,0,Twin rudder,Motorsailing,5 - 7,Calm,3 - 4 (7 - 16 knots),Day,0 - 25%,2 - 5,200m+,On,On,White/light,Blue,No,No,Pinger; no effect Fireworks; effective,"Came from stern side, submerged under stern and apparently aiming rudder. Bumped into starboard rudder a couple of times."
7,2023-07-15 23:58:00,"36 15.0090 N, 5 11.2660 W","Yes, followed protocol, interaction lasted 30 to 60 minutes",Sail,12.5 - 15m,Not towing,No,Yes,4,0,0,Sailing,5 - 7,Moderate,3 - 4 (7 - 16 knots),Night,0 - 25%,2 - 5,40 - 200m,On,On,White/light,Blue,"Yes, moderate - immediate repairs required",Yes,"We were sailing and the boat was on autopilot. Our speed was between 5.5-6.5 knots. After two strong attacks, i turned off the autopilot and then rudders first went whole left, then turned whole right. Meanwhile, i tried to calm my wife and make her quiet. We waited 40 minutes for them to leave us. Meanwhile, at the same time we contacted Tarifa Trafic and requested help. Rudders went completely off. I realised a serious damage on the upper system that controls autopilot and rudders after i controlled. Meanwhile, weather got worse. With the help of bow thruster and front sail, we fought to not get far from land. Then, Spanish Coast Guard came and towed us to Sotogrande Marina.","One of them was under the boat. Others were at the right, left and behind. They were moving and breathing over the water. We were hearing the sounds from their back when they exhale the water. We could not see clearly because it was dark and we did not use any light. We did not do anything to make them mad. We only have sound record.","Not applicable, did not reverse"
8,2023-08-09 11:30:00,"38 12.0000 N, 9 4.0000 W","Yes, followed protocol, interaction lasted less than 10 minutes",Sail,12.5 - 15m,Not towing,Yes,Yes,1,0,0,Full skeg,Motoring,5 - 7,Calm,0 - 2 (0 - 6 knots),Day,0 - 25%,Over 10,40 - 200m,On,On,Dark colour,Black,"Yes, minor - will wait until the end of the season",No,"As we encountered the orca, we stopped the engine completely. We waited till the orca lost interest and found another sailing vessel following us. That ship also came in contact with the orca and it tuned 90 degrees around. We waited about 45 Minutes to make sure the orca was gone. We lost our wind pilot rudder, furthermore no damage!",Swimming around a lot. O distance about 100 meters
9,2023-07-21 16:10:00,"36 24.6000 N, 4 51.2000 W","No, did not follow protocol, interaction lasted less than 10 minutes",Sail,Over 15m,Not towing,No,Yes,1,0,0,Spade,Motorsailing,5 - 7,Moderate,3 - 4 (7 - 16 knots),Day,50 - 75%,2 - 5,200m+,On,On,White/light,Coppercoat,No,No,Single orca struck boat (catamaran) on starboard hull 3 times. At the time only the port engine was running. Starboard engine started and engaged.,"Swimming alongside, three blows to stern/rudder6"
